學年,學期,開課代碼,科目名稱,課程分類,課別,學分,學期成績,開課班級
113,1,D161103,品格與禮儀類,共同科目,必修,1,83,日四技資一甲
112,1,D161201,中文悅讀與舒寫,共同科目,必修,2,76,日四技資一乙
112,1,D161202,大一英文(一),共同科目,必修,2,95,日四技資一乙
112,1,D161205,服務學習,共同科目,必修,0,83,日四技資一乙
112,1,D161206,四技一體育,共同科目,必修,1,88,日四技資一乙
112,1,D161209,電腦繪圖實務,學院共同,必修,3,90,日四技資一乙
112,1,D161210,資訊倫理與法規,學院共同,必修,2,82,日四技資一乙
112,1,D161211,程式設計實務,系專業必修,必修,2,100,日四技資一乙
112,1,D161212,微積分,系專業必修,必修,2,100,日四技資一乙
112,1,D161213,管理學,系專業必修,必修,3,98,日四技資一乙
112,1,D161214,人力資源管理,系專業選修,選修,3,99,日四技資一乙
112,1,D922605,民俗與文化,通識科目,通識,2,88,社會與文化類
112,2,D161103,四技一體育,共同科目,必修,1,87,日四技資一甲
112,2,D161205,資訊與網路安全概論,學院共同,必修,3,92,日四技資一乙
112,2,D161206,程式設計實務,系專業必修,必修,2,86,日四技資一乙
112,2,D161207,微積分,系專業必修,必修,2,100,日四技資一乙
112,2,D161208,網頁設計實務,系專業必修,必修,3,100,日四技資一乙
112,2,D161209,企業資訊網路,系專業必修,必修,3,80,日四技資一乙
112,2,D161210,資料結構,系專業必修,必修,3,99,日四技資一乙
112,2,D191102,大一英文(二),共同科目,必修,2,100,日四技科一甲
112,2,D221101,中文悅讀與舒寫,共同科目,必修,2,84,日四技媒一甲
112,2,D161213,網路行銷,系專業選修,選修,3,100,日四技資一乙
113,1,D162101,大二英文(一),共同科目,必修,2,85,日四技資二甲
113,1,D162106,資料庫管理系統,系專業必修,必修,3,100,日四技資二甲
113,1,D162107,統計學,系專業必修,必修,3,96,日四技資二甲
113,1,D162205,物件導向技術,系專業必修,必修,3,99,日四技資二乙
113,1,D162208,網際網路,系專業必修,必修,3,98,日四技資二乙
113,1,D162209,Web程式設計實務,系專業必修,必修,3,98,日四技資二乙
113,1,D212102,國際思維與多元文化,共同科目,必修,1,100,日四技會二甲
113,1,D932201,體育-羽球,共同科目,必修,1,91,日四技體育選項二乙
113,1,D162212,Windows伺服器管理,系專業選修,選修,3,86,日四技資二乙
113,2,D162101,大二英文(二),共同科目,必修,2,94,日四技資二甲
113,2,D162105,專業英文與簡報,學院共同,必修,2,84,日四技資二甲
113,2,D162107,資訊管理,系專業必修,必修,3,86,日四技資二甲
113,2,D162206,物件導向技術,系專業必修,必修,3,99,日四技資二乙
113,2,D162208,系統分析與設計,系專業必修,必修,3,82,日四技資二乙
113,2,D932101,體育-羽球,共同科目,必修,1,84,日四技體育選項二甲
113,2,D162110,商業智慧,系專業選修,選修,3,97,日四技資二甲
113,2,D162211,Linux伺服器管理,系專業選修,選修,3,92,日四技資二乙
113,2,D162212,資料庫應用,系專業選修,選修,3,100,日四技資二乙
113,2,D920602,環境與永續發展,通識科目,通識,2,94,自然與科技類
